"Chr","bp","gene","cell_type","gene_name","gChr","gbp","cell_typeCode","bp_flat","gbp_flat"
"1",10373199,"11028","Xylem","AT4G34560","4",16507635,"7",10373199,90073941
"1",10380763,"13797","Root cap tip","AT3G11980","3",3814236,"9",10380763,53921360
"1",10384496,"2875","Xylem","AT2G28210","2",12029997,"7",10384496,42452055
"1",10389266,"8890","Root cap tip","AT1G05330","1",1558170,"9",10389266,1558170
"1",10409758,"11267","Cortex","AT5G16100","5",5258551,"1",10409758,97373561
"1",10413495,"11436","Phloem and companion cells","AT5G42655","5",17102213,"14",10413495,109217223
"1",10455115,"9557","Cortex","AT1G78160","1",29407900,"1",10455115,29407900
"1",10457163,"12246","Root cap lateral","AT3G07540","3",2404509,"11",10457163,52511633
"1",10457179,"9619","Cortex","AT2G02980","2",868359,"1",10457179,31290417
"1",10457977,"10050","Cortex","AT2G44995","2",18562102,"1",10457977,48984160
"1",10457977,"12934","Protoxylem","AT4G25000","4",12851969,"15",10457977,86418275
"1",10488985,"14913","Hair cells","AT2G19040","2",8249923,"2",10488985,38671981
"1",10489003,"11363","Phloem pole pericycle","AT5G28500","5",10477771,"6",10489003,102592781
"1",10497356,"1015","Epidermis meristem","AT1G29965","1",10498310,"12",10497356,10498310
"1",10497356,"1015","Hair cells","AT1G29965","1",10498310,"2",10497356,10498310
"1",10498458,"1015","Epidermis meristem","AT1G29965","1",10498310,"12",10498458,10498310
"1",10498458,"1015","Hair cells","AT1G29965","1",10498310,"2",10498458,10498310
"1",10498458,"1015","Xylem pole pericycle","AT1G29965","1",10498310,"8",10498458,10498310
"1",10498938,"4835","Protoxylem","AT3G47540","3",17521029,"15",10498938,67628153
"1",10504432,"2434","Columella","AT2G07749","2",3247234,"3",10504432,33669292
"1",10504432,"9962","Root cap tip","AT2G38620","2",16152505,"9",10504432,46574563
"1",10517906,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10517906,79239582
"1",10546345,"9291","Protoxylem","AT1G53140","1",19799238,"15",10546345,19799238
"1",10548655,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10548655,69591991
"1",10548960,"11249","Cortex","AT5G13887","5",4479397,"1",10548960,96594407
"1",10548960,"13889","Root cap early","AT4G37445","4",17604094,"10",10548960,91170400
"1",10549366,"11066","Phloem and companion cells","AT4G37490","4",17621886,"14",10549366,91188192
"1",10551284,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10551284,69591991
"1",10553171,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10553171,69591991
"1",10558417,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10558417,69591991
"1",10561926,"10775","Procambium","AT4G13810","4",8005032,"13",10561926,81571338
"1",10561926,"8625","Root cap early","AT5G63750","5",25512994,"10",10561926,117628004
"1",10570301,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10570301,69591991
"1",10571231,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10571231,69591991
"1",10573585,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10573585,69591991
"1",10575402,"10239","Cortex","AT3G14250","3",4745926,"1",10575402,54853050
"1",10576093,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10576093,69591991
"1",10576876,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10576876,69591991
"1",10587697,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10587697,69591991
"1",10591114,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10591114,69591991
"1",10591686,"10060","Epidermis meristem","AT2G46440","2",19061861,"12",10591686,49483919
"1",10599730,"9081","Xylem","AT1G21120","1",7395228,"7",10599730,7395228
"1",10600233,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10600233,69591991
"1",10603488,"10595","Endodermis","AT3G62040","3",22975276,"5",10603488,73082400
"1",10606142,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10606142,69591991
"1",10607749,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10607749,69591991
"1",10608463,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10608463,69591991
"1",10610894,"9987","Phloem pole pericycle","AT2G40720","2",16987269,"6",10610894,47409327
"1",10613225,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10613225,69591991
"1",10613502,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10613502,69591991
"1",10615726,"10210","Root cap early","AT3G11773","3",3722892,"10",10615726,53830016
"1",10617829,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10617829,69591991
"1",10620858,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10620858,69591991
"1",10622951,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10622951,69591991
"1",10623834,"12756","Hair cells","AT1G23910","1",8451068,"2",10623834,8451068
"1",10630771,"2777","Protoxylem","AT2G24990","2",10625214,"15",10630771,41047272
"1",10651215,"8340","Root cap lateral","AT5G56160","5",22731974,"11",10651215,114846984
"1",10651287,"15307","Non-hair cells","AT5G01440","5",179822,"4",10651287,92294832
"1",10659058,"9175","Root cap lateral","AT1G31710","1",11349840,"11",10659058,11349840
"1",10661783,"9175","Root cap lateral","AT1G31710","1",11349840,"11",10661783,11349840
"1",10667273,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10667273,69591991
"1",10667357,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10667357,69591991
"1",10680585,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10680585,69591991
"1",10683799,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10683799,69591991
"1",10692142,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10692142,69591991
"1",10692142,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10692142,79239582
"1",10699210,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10699210,69591991
"1",10699210,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10699210,79239582
"1",10700894,"10037","Root cap early","AT2G43865","2",18165419,"10",10700894,48587477
"1",10700894,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10700894,69591991
"1",10700894,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10700894,79239582
"1",10702454,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10702454,69591991
"1",10702454,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10702454,79239582
"1",10702806,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10702806,69591991
"1",10702806,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10702806,79239582
"1",10704274,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10704274,69591991
"1",10705398,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10705398,69591991
"1",10705398,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10705398,79239582
"1",10710012,"9393","Root cap early","AT1G63820","1",23682422,"10",10710012,23682422
"1",10712714,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10712714,69591991
"1",10712714,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10712714,79239582
"1",10739424,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10739424,69591991
"1",10741458,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10741458,69591991
"1",10758972,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10758972,69591991
"1",10777619,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10777619,69591991
"1",10777619,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10777619,79239582
"1",10778162,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10778162,69591991
"1",10778204,"9633","Root cap tip","AT2G04395","2",1529083,"9",10778204,31951141
"1",10815819,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10815819,69591991
"1",10822959,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10822959,69591991
"1",10822959,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10822959,79239582
"1",10863701,"10584","Xylem","AT3G61310","3",22690596,"7",10863701,72797720
"1",10863701,"6615","Non-hair cells","AT4G37225","4",17516187,"4",10863701,91082493
"1",10867901,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10867901,69591991
"1",10867901,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10867901,79239582
"1",10872669,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10872669,69591991
"1",10872669,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10872669,79239582
"1",10874870,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10874870,69591991
"1",10874870,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10874870,79239582
"1",10875414,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10875414,69591991
"1",10887254,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10887254,69591991
"1",10887254,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10887254,79239582
"1",10887260,"10382","Phloem pole pericycle","AT3G28080","3",10451486,"6",10887260,60558610
"1",10887946,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10887946,69591991
"1",1088805,"14912","Hair cells","AT2G19020","2",8246220,"2",1088805,38668278
"1",10890556,"11861","Cortex","AT1G24430","1",8658003,"1",10890556,8658003
"1",10891884,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10891884,69591991
"1",10892002,"10673","Endodermis","AT4G04220","4",2033427,"5",10892002,75599733
"1",10892820,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10892820,69591991
"1",10898391,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10898391,69591991
"1",10898391,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",10898391,79239582
"1",10902001,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10902001,69591991
"1",10908778,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10908778,69591991
"1",109152,"14912","Hair cells","AT2G19020","2",8246220,"2",109152,38668278
"1",10924390,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10924390,69591991
"1",10928045,"9366","Protoxylem","AT1G61930","1",22893101,"15",10928045,22893101
"1",10933235,"9924","Epidermis meristem","AT2G35760","2",15031923,"12",10933235,45453981
"1",10934422,"6185","Columella","AT4G26550","4",13402515,"3",10934422,86968821
"1",10934734,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10934734,69591991
"1",10940875,"12952","Hair cells","AT5G08490","5",2745208,"2",10940875,94860218
"1",10946888,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10946888,69591991
"1",10949201,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10949201,69591991
"1",10949548,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10949548,69591991
"1",10963166,"10973","Root cap early","AT4G28490","4",14077857,"10",10963166,87644163
"1",10964519,"14736","Non-hair cells","AT1G48150","1",17785397,"4",10964519,17785397
"1",10967213,"8859","Endodermis","AT1G03620","1",904319,"5",10967213,904319
"1",10968661,"9426","Phloem pole pericycle","AT1G66570","1",24835251,"6",10968661,24835251
"1",10968661,"9705","Non-hair cells","AT2G14670","2",6274606,"4",10968661,36696664
"1",10971332,"4088","Protoxylem","AT3G13000","3",4157967,"15",10971332,54265091
"1",10975112,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10975112,69591991
"1",10975965,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10975965,69591991
"1",10978893,"7106","Columella","AT5G11440","5",3652714,"3",10978893,95767724
"1",10979764,"9368","Phloem pole pericycle","AT1G62220","1",22988196,"6",10979764,22988196
"1",10980032,"12186","Non-hair cells","AT2G41590","2",17343360,"4",10980032,47765418
"1",10982201,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",10982201,69591991
"1",10988945,"4088","Protoxylem","AT3G13000","3",4157967,"15",10988945,54265091
"1",10989205,"10224","Xylem pole pericycle","AT3G12915","3",4112629,"8",10989205,54219753
"1",10989480,"2335","Xylem pole pericycle","AT2G02310","2",608759,"8",10989480,31030817
"1",10998055,"1057","Non-hair cells","AT1G30880","1",10993195,"4",10998055,10993195
"1",11000186,"10858","Procambium","AT4G18910","4",10366059,"13",11000186,83932365
"1",11000186,"14181","Epidermis meristem","AT3G09120","3",2796958,"12",11000186,52904082
"1",11010020,"11042","Epidermis meristem","AT4G35640","4",16905579,"12",11010020,90471885
"1",11011280,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11011280,69591991
"1",11013837,"12236","Endodermis","AT3G05660","3",1648843,"5",11013837,51755967
"1",11015192,"10109","Root cap lateral","AT3G02850","3",619678,"11",11015192,50726802
"1",11025517,"11044","Root cap lateral","AT4G36060","4",17055321,"11",11025517,90621627
"1",11034420,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11034420,69591991
"1",11034656,"10184","Hair cells","AT3G09380","3",2885138,"2",11034656,52992262
"1",11035349,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11035349,69591991
"1",11044411,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11044411,69591991
"1",11044411,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",11044411,79239582
"1",11048373,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11048373,69591991
"1",11048493,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11048493,69591991
"1",1105099,"10601","Root cap early","AT3G62510","3",23123398,"10",1105099,73230522
"1",11068562,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11068562,69591991
"1",11077429,"10066","Protoxylem","AT2G46590","2",19133040,"15",11077429,49555098
"1",11084073,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11084073,69591991
"1",11084177,"10066","Protoxylem","AT2G46590","2",19133040,"15",11084177,49555098
"1",11084302,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11084302,69591991
"1",11087105,"10067","Epidermis meristem","AT2G46630","2",19145529,"12",11087105,49567587
"1",11091741,"12208","Hair cells","AT3G02100","3",368840,"2",11091741,50475964
"1",11091741,"14223","Non-hair cells","AT3G43580","3",15502143,"4",11091741,65609267
"1",11095063,"11946","Xylem pole pericycle","AT1G58602","1",21746354,"8",11095063,21746354
"1",11095847,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11095847,69591991
"1",11100502,"11097","Root cap tip","AT4G39930","4",18518343,"9",11100502,92084649
"1",11100739,"12840","Protoxylem","AT3G01960","3",324581,"15",11100739,50431705
"1",11107669,"14680","Hair cells","AT1G20750","1",7203302,"2",11107669,7203302
"1",11113210,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11113210,69591991
"1",11117364,"15779","Phloem pole pericycle","AT4G15690","4",8934324,"6",11117364,82500630
"1",11125938,"11562","Xylem pole pericycle","AT5G53680","5",21798382,"8",11125938,113913392
"1",11126814,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11126814,69591991
"1",11135945,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11135945,69591991
"1",11138690,"10277","Phloem pole pericycle","AT3G18570","3",6395860,"6",11138690,56502984
"1",11140504,"13867","Root cap tip","AT4G15360","4",8770185,"9",11140504,82336491
"1",11144945,"10437","Procambium","AT3G46490","3",17115629,"13",11144945,67222753
"1",11145113,"14990","Hair cells","AT2G36724","2",15401374,"2",11145113,45823432
"1",11147884,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11147884,69591991
"1",11156688,"14316","Epidermis meristem","AT5G02760","5",625254,"12",11156688,92740264
"1",11156988,"1174","Procambium","AT1G36922","1",13984576,"13",11156988,13984576
"1",11156988,"11897","Epidermis meristem","AT1G36920","1",13983512,"12",11156988,13983512
"1",11156988,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11156988,69591991
"1",11158747,"1174","Procambium","AT1G36922","1",13984576,"13",11158747,13984576
"1",11158747,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11158747,69591991
"1",11167217,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11167217,69591991
"1",11168674,"1497","Epidermis meristem","AT1G56250","1",21061600,"12",11168674,21061600
"1",11169290,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11169290,69591991
"1",11179184,"10437","Procambium","AT3G46490","3",17115629,"13",11179184,67222753
"1",11179675,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11179675,69591991
"1",11181560,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11181560,69591991
"1",11181755,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11181755,69591991
"1",11185321,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11185321,69591991
"1",11187905,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11187905,69591991
"1",11194021,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11194021,69591991
"1",11209076,"10731","Root cap early","AT4G09780","4",6159538,"10",11209076,79725844
"1",11209076,"13361","Endodermis","AT3G54600","3",20210859,"5",11209076,70317983
"1",11210134,"11527","Xylem pole pericycle","AT5G49920","5",20306409,"8",11210134,112421419
"1",11212729,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11212729,69591991
"1",11219158,"1286","Endodermis","AT1G49390","1",18279600,"5",11219158,18279600
"1",11220394,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11220394,69591991
"1",11220948,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11220948,69591991
"1",11223660,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11223660,69591991
"1",11227567,"10866","Phloem and companion cells","AT4G19380","4",10568365,"14",11227567,84134671
"1",11228417,"9552","Procambium","AT1G77700","1",29204747,"13",11228417,29204747
"1",11231606,"527","Phloem and companion cells","AT1G14720","1",5066636,"14",11231606,5066636
"1",11235999,"12673","Cortex","AT5G46090","5",18693485,"1",11235999,110808495
"1",11237366,"1729","Phloem and companion cells","AT1G65370","1",24284469,"14",11237366,24284469
"1",1124043,"10601","Root cap early","AT3G62510","3",23123398,"10",1124043,73230522
"1",11246276,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11246276,69591991
"1",11253435,"9154","Xylem","AT1G28600","1",10051001,"7",11253435,10051001
"1",11260214,"12002","Root cap tip","AT1G70880","1",26722881,"9",11260214,26722881
"1",11265943,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11265943,69591991
"1",11274090,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11274090,69591991
"1",11274663,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11274663,69591991
"1",11275663,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11275663,69591991
"1",11279762,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11279762,69591991
"1",11280105,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11280105,69591991
"1",11280238,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11280238,69591991
"1",11288583,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11288583,69591991
"1",11288659,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11288659,69591991
"1",11288977,"12002","Root cap tip","AT1G70880","1",26722881,"9",11288977,26722881
"1",11289524,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11289524,69591991
"1",11291971,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11291971,69591991
"1",11318819,"12099","Cortex","AT2G18328","2",7964393,"1",11318819,38386451
"1",11319318,"10881","Xylem","AT4G20700","4",11098270,"7",11319318,84664576
"1",11329940,"5527","Protoxylem","AT4G02610","4",1147634,"15",11329940,74713940
"1",11329940,"9949","Endodermis","AT2G37820","2",15847492,"5",11329940,46269550
"1",11333192,"12425","Cortex","AT4G08260","4",5200847,"1",11333192,78767153
"1",11339537,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11339537,69591991
"1",11345606,"12425","Cortex","AT4G08260","4",5200847,"1",11345606,78767153
"1",11348002,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11348002,69591991
"1",11348002,"9207","Root cap tip","AT1G34510","1",12615733,"9",11348002,12615733
"1",11353166,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11353166,69591991
"1",11354401,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11354401,69591991
"1",11357268,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11357268,69591991
"1",11357286,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11357286,69591991
"1",11362216,"13487","Root cap early","AT5G01060","5",22740,"10",11362216,92137750
"1",11364200,"1927","Protoxylem","AT1G71015","1",26789236,"15",11364200,26789236
"1",11364480,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11364480,69591991
"1",11364480,"7595","Root cap early","AT5G25250","5",8749727,"10",11364480,100864737
"1",11364503,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11364503,69591991
"1",11367550,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11367550,69591991
"1",11370794,"1075","Root cap lateral","AT1G31750","1",11370659,"11",11370794,11370659
"1",11370794,"1075","Root cap tip","AT1G31750","1",11370659,"9",11370794,11370659
"1",11371876,"1075","Root cap early","AT1G31750","1",11370659,"10",11371876,11370659
"1",11371876,"1075","Root cap lateral","AT1G31750","1",11370659,"11",11371876,11370659
"1",11371876,"1075","Root cap tip","AT1G31750","1",11370659,"9",11371876,11370659
"1",11372099,"1075","Root cap early","AT1G31750","1",11370659,"10",11372099,11370659
"1",11372099,"1075","Root cap lateral","AT1G31750","1",11370659,"11",11372099,11370659
"1",11372099,"1075","Root cap tip","AT1G31750","1",11370659,"9",11372099,11370659
"1",11372145,"1075","Root cap lateral","AT1G31750","1",11370659,"11",11372145,11370659
"1",11372145,"1075","Root cap tip","AT1G31750","1",11370659,"9",11372145,11370659
"1",11372327,"1075","Hair cells","AT1G31750","1",11370659,"2",11372327,11370659
"1",11372327,"1075","Xylem pole pericycle","AT1G31750","1",11370659,"8",11372327,11370659
"1",11374671,"11890","Xylem pole pericycle","AT1G34047","1",12390238,"8",11374671,12390238
"1",11381555,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11381555,69591991
"1",11382058,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11382058,69591991
"1",11385712,"11900","Cortex","AT1G43640","1",16439435,"1",11385712,16439435
"1",11392458,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11392458,69591991
"1",11410738,"1910","Hair cells","AT1G70690","1",26652013,"2",11410738,26652013
"1",11410937,"10831","Phloem and companion cells","AT4G17000","4",9566902,"14",11410937,83133208
"1",11410937,"9893","Root cap early","AT2G32160","2",13662213,"10",11410937,44084271
"1",11412691,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11412691,69591991
"1",11415022,"12083","Xylem","AT2G11810","2",4743322,"7",11415022,35165380
"1",11417139,"5787","Root cap lateral","AT4G15096","4",8620596,"11",11417139,82186902
"1",11432602,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",11432602,69591991
